Gender	Age	Region	AN_1	AN_2	AN_3	AN_4	AN_5	AN_6	AN_7	AN_8	AC_1	AC_2	AC_3	AC_4	AC_5	AC_6*	AC_7	AC_8	AC_9*	AC_10	AC_11	RATE_WITCH	MR_1	MR_2	MR_3	MR_4	MR_5	MR_6	MR_7	MR_8	MR_9	MR_10	MR_11	MR_12	MR_13	SBS_1	SBS_2	SBS_3	SBS_4	SBS_5	SBS_6	AM_1	AM_2	AM_3	AM_4	AM_5	AM_6	AM_7	AM_8	AM_9	AM_10	AM_11	AM_12	AM_13	AM_14	AM_15	IRI_2:EC	IRI_3:PT*	IRI_4:EC*	IRI_8:PT	IRI_9:EC	IRI_11:PT	IRI_14:EC*	IRI_15:PT*	IRI_18:EC*	IRI_20:EC	IRI_21:PT	IRI_22:EC	IRI_25:PT	IRI_28:PT	REL	FNL1	FNL2	EDU	EXP_1	EXP_2	EXP_3	RHAB
女性	23	近畿（関西）	2	4	3	3	1	3	3	3	3	3	4	4	3	5	2	5	3	4	4	B	1	1	1	1	1	1	2	1	1	2	2	2	2	-4	-4	-4	-4	-4	-4	10	1	4	0	7	3	4	2	3	3	2	4	8	3	9	6	6	4	2	3	1	2	5	5	5	2	2	3	2	なし	その他	なし	大学・大学校	5	1	1	0
男性	23	近畿（関西）	5	5	4	5	4	5	5	3	7	4	1	3	7	7	6	5	1	2	3	A	7	5	4	3	3	6	6	6	6	3	3	6	3	-4	3	4	4	0	4	10	3	3	10	4	10	4	0	2	10	0	3	3	0	5	7	2	2	6	7	7	7	3	2	7	5	7	2	7	なし	無宗教式		大学・大学校	6	3	2	1
女性	30	中国・四国	4	4	4	4	2	2	2	2	4	4	4	4	4	6	4	4	2	3	2	A	1	1	1	1	1	1	1	1	6	1	1	4	4	0	0	1	1	1	1	0	10	0	0	0	10	0	0	0	10	0	10	0	0	10	4	6	4	7	7	7	1	1	1	7	7	4	3	3	なし	仏教式		高等学校	5	1	1	3
女性	20	九州・沖縄	5	5	5	5	5	5	5	5	7	7	7	7	7	7	7	7	7	7	7	A	1	1	1	1	1	1	1	1	1	1	1	1	1	-4	-4	-4	-4	-4	-4	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	4	4	4	4	4	4	4	4	4	4	4	4	4	4	なし	キリスト教式		専門学校・高等専門学校（高専）・短期大学	4	4	4	0
男性	27	九州・沖縄	2	4	2	4	2	4	2	2	5	3	2	4	4	5	4	3	4	3	3	A	4	3	3	3	3	3	3	2	3	3	2	3	3	-2	-1	-2	0	-1	0	2	2	1	0	1	2	4	2	1	1	2	3	2	3	3	4	6	6	3	3	3	2	2	5	7	6	6	5	2	なし	仏教式		高等学校	2	2	7	4
男性	43	九州・沖縄	4	4	4	4	1	4	4	4	5	4	1	1	4	4	3	3	5	1	3	A	3	3	3	3	3	3	1	3	2	1	1	3	3	-2	-2	0	0	0	1	7	5	5	5	6	6	5	5	6	6	5	5	6	5	6	5	5	5	5	5	5	4	4	3	5	5	5	4	5	禅宗	仏教式		高等学校	6	4	1	5
女性	29	中部・北陸	4	4	5	3	5	3	5	5	7	6	4	6	6	6	4	5	5	7	7	A	6	7	6	4	5	6	7	5	5	5	6	5	6	2	3	2	2	3	3	8	9	8	9	8	8	9	8	7	9	8	9	8	8	7	6	5	5	5	6	5	5	7	4	6	5	5	7	6	キリスト教	キリスト教式		大学院	7	8	7	7
女性	45	関東	5	3	4	4	4	5	3	5	6	7	7	7	7	7	7	7	7	6	7	A	1	1	1	1	1	1	1	1	1	1	1	1	1	-3	-1	0	-2	2	0	1	7	3	3	0	0	2	1	3	3	5	9	1	0	9	2	4	2	2	1	3	4	3	5	5	7	7	5	3	なし	仏教式		大学・大学校	4	2	3	2
その他	22	関東	1	1	1	4	4	3	2	3	7	5	5	3	5	6	5	4	4	3	7	A	5	3	2	4	4	2	6	6	6	5	2	5	3	-3	2	-2	-1	-2	-4	1	1	3	1	0	6	2	1	1	3	2	10	9	4	6	4	7	1	1	1	3	2	1	1	5	5	1	1	1	なし	仏教式		大学・大学校	6	5	4	1
女性	21	関東	3	3	3	4	5	3	3	3	3	5	5	5	5	5	5	5	5	6	4	A	3	3	3	4	4	4	5	5	4	4	4	5	3	-1	1	-1	0	1	-1	6	4	5	7	7	4	5	8	8	7	4	6	7	6	6	5	4	4	6	5	5	6	5	4	5	5	4	4	3	なし	仏教式		大学・大学校	5	4	5	0
女性	34	関東	3	5	4	3	5	5	3	3	6	7	6	7	6	6	6	7	1	6	7	A	1	1	1	1	1	1	1	2	1	1	1	4	4	-3	-3	-3	-3	-3	3	1	1	1	1	2	3	2	0	1	5	0	0	0	0	1	1	1	1	7	7	5	5	5	7	5	7	7	7	7	キリスト教	仏教式		大学・大学校	6	6	5	3
男性	25	近畿（関西）	4	5	3	4	4	5	4	4	7	6	5	5	5	6	7	7	6	5	6	A	5	4	3	5	5	6	6	3	4	5	4	5	6	-3	-2	1	3	1	-2	8	6	5	4	6	3	2	3	4	8	7	3	6	4	3	5	5	4	6	6	7	5	3	4	6	4	6	5	5	仏教	仏教式		大学・大学校	6	5	5	1
男性	20	九州・沖縄	4	5	5	3	5	5	2	4	2	2	1	1	1	7	4	1	7	4	1	A	7	5	3	6	1	1	5	1	5	2	3	6	7	2	2	4	-2	4	4	6	7	10	0	7	10	1	10	2	10	7	3	8	10	6	5	1	2	5	6	5	2	3	2	5	6	6	7	7	なし	仏教式		大学・大学校	6	5	3	3
女性	39	近畿（関西）	5	3	4	4	3	4	2	4	6	4	2	3	5	4	3	4	2	2	1	A	2	2	2	2	2	2	3	2	2	2	2	2	3	-2	2	4	4	2	3	0	8	0	0	0	9	0	5	0	10	5	3	6	2	9	6	3	2	5	6	7	1	1	1	6	6	5	6	6	buddhism	仏教式		大学・大学校	6	5	1	1
女性	20	関東	4	4	4	5	4	5	4	5	5	5	4	4	5	5	4	4	4	5	4	A	4	3	3	3	3	3	3	3	3	3	3	3	3	-3	-2	-2	-2	-2	-1	2	6	4	4	6	6	4	4	6	6	4	6	4	4	6	4	5	5	4	4	4	4	3	4	4	3	4	4	4	仏教	仏教式		高等学校	5	7	7	0
女性	41	近畿（関西）	3	2	2	3	5	5	5	4	4	3	2	3	4	3	5	3	2	1	2	A	5	3	3	3	1	2	1	3	2	2	1	5	3	-1	0	0	1	1	0	6	5	5	9	8	5	5	6	7	7	6	6	5	5	7	4	3	5	5	5	5	4	2	3	5	4	2	5	5	なし	無宗教式	なし	大学・大学校	6	6	4	0
女性	22	北海道・東北	3	4	3	4	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	A	3	2	2	2	2	2	2	2	2	2	2	3	3	2	0	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	なし	仏教式		高等学校	6	4	3	2
女性	24	関東	3	3	3	4	4	5	2	3	4	6	4	4	4	5	4	4	2	4	4	A	4	2	2	2	2	2	2	3	3	2	2	3	3	1	1	0	1	0	2	5	6	5	5	7	6	5	5	5	6	5	6	5	5	5	5	6	4	4	4	3	4	4	4	5	4	4	3	4	なし	無宗教式		高等学校	4	1	1	0
女性	22	関東	5	5	4	3	2	5	1	5	6	7	3	3	5	7	2	4	4	5	1	A	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	0	3	2	7	10	5	7	7	7	5	3	9	8	8	5	7	7	5	6	3	2	7	7	4	3	2	2	5	7	6	4	7	なし	仏教式		大学・大学校	6	5	2	10
女性	27	九州・沖縄	4	4	2	2	3	4	1	1	2	4	2	1	3	6	3	1	4	3	1	B	3	3	5	3	3	2	2	2	5	2	1	6	6	-2	-3	-1	-1	-2	0	3	8	6	0	0	9	6	0	2	10	3	7	3	0	8	4	4	4	5	6	5	4	3	2	4	6	2	3	3	なし	仏教式		大学・大学校	2	2	1	3
男性	30	関東	2	2	2	3	4	5	5	3	7	7	5	7	6	7	7	7	7	7	7	A	1	1	1	1	1	1	1	1	1	1	1	1	1	-4	-4	-4	-4	-4	-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	3	7	4	3	3	4	1	3	4	4	5	2	なし	無宗教式		大学・大学校	1	1	2	0
女性	24	関東	1	1	2	2	2	3	2	1	2	2	1	1	2	2	1	1	2	1	2	A	2	1	1	1	1	1	1	1	1	1	1	1	1	0	-1	-1	1	0	0	8	3	8	1	3	5	2	3	5	5	3	3	3	5	6	5	4	5	4	4	3	4	4	3	3	4	4	4	5	なし	神式（神道式）		高等学校	7	1	7	3
男性	31	中国・四国	5	5	5	5	4	5	5	5	4	2	3	2	6	6	4	3	1	3	2	A	3	3	3	2	2	2	2	2	5	3	3	4	3	-4	2	3	-2	0	2	8	0	0	0	0	3	0	0	1	7	0	0	0	0	0	1	5	7	3	4	4	4	4	3	5	4	1	5	5	なし	無宗教式		大学・大学校	7	6	4	2
女性	24	関東	3	4	5	4	4	5	4	3	7	4	4	6	6	6	4	6	7	2	3	B	5	3	4	7	5	7	7	2	4	7	3	6	5	0	4	4	4	4	4	10	4	5	0	0	6	0	5	0	6	0	1	1	0	2	2	6	7	3	1	3	5	6	6	7	7	2	1	1	なし	仏教式		大学・大学校	6	5	1	2
男性	23	中国・四国	2	4	2	5	1	2	2	1	6	6	2	5	6	4	6	6	1	3	6	B	5	2	1	3	3	4	3	1	4	3	1	5	3	-4	-4	-3	-3	-4	-3	0	2	0	0	1	2	0	0	2	2	0	1	1	0	3	6	7	4	3	7	4	3	4	4	4	4	4	3	4	なし	仏教式		大学・大学校	6	8	8	0
女性	23	関東	4	5	5	4	4	5	5	5	5	5	4	6	5	6	5	5	4	5	5	A	2	2	2	3	2	1	1	2	2	1	2	1	1	-2	4	3	2	3	4	8	10	9	9	9	10	9	9	8	10	9	10	9	8	10	5	6	3	5	6	7	2	4	2	6	6	4	5	6	なし	仏教式		高等学校	3	4	4	4
女性	30	北海道・東北	5	5	3	4	2	4	4	3	5	4	2	2	4	7	4	3	5	2	2	A	5	2	2	4	4	2	2	2	4	3	1	5	4	4	4	4	4	0	0	1	10	10	2	5	10	1	5	1	10	5	8	5	1	10	6	7	2	6	6	6	2	3	2	7	6	4	3	3	なし	仏教式		高等学校	3	2	1	0
女性	30	北海道・東北	5	5	5	5	4	4	5	5	7	7	6	7	7	7	7	6	7	7	7	A	5	3	1	1	3	1	1	1	1	1	1	1	1	4	4	4	4	4	3	9	10	10	10	10	10	10	10	9	10	10	10	10	9	9	7	6	7	6	7	7	6	7	7	7	7	7	6	7	キリシャ	仏教式		大学院	8	6	7	9
女性	24	近畿（関西）	2	4	4	3	2	5	3	3	4	6	4	5	6	4	4	4	3	4	5	A	3	1	1	1	1	1	1	1	1	1	1	2	1	-1	-1	1	0	-1	1	6	8	4	3	6	8	4	7	5	8	7	7	7	6	8	3	2	3	5	5	5	4	3	3	5	5	5	3	3	なし	仏教式		大学・大学校	5	1	1	0
女性	45	近畿（関西）	4	4	3	5	1	5	5	1	7	4	4	5	4	5	4	5	7	4	4	A	1	2	1	2	2	1	1	2	2	1	1	3	3	0	0	2	1	1	2	5	5	5	5	5	9	3	6	5	10	9	6	7	6	6	5	5	1	3	3	2	2	2	1	6	7	3	2	5	なし	無宗教式		専門学校・高等専門学校（高専）・短期大学	4	2	1	1
女性	37	関東	5	5	4	4	4	5	5	4	5	4	5	4	5	6	5	4	4	4	5	A	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	4	4	3	4	8	7	6	4	5	6	4	8	5	8	6	6	7	6	7	5	3	1	5	5	6	1	2	1	6	6	5	6	5	なし	無宗教式		大学・大学校	6	5	1	2
女性	32	関東	2	1	1	5	2	5	5	2	5	4	4	5	7	6	6	4	6	4	1	A	2	4	2	2	2	1	1	1	1	1	1	3	5	-4	-4	-4	-4	-4	-4	0	10	0	0	2	10	2	0	0	10	0	10	0	0	10	5	1	5	7	7	7	2	1	3	6	3	3	5	4	なし	仏教式		大学・大学校	6	4	1	5
男性	41	関東	5	5	4	4	1	5	3	1	7	4	1	6	5	6	4	5	1	4	4	A	1	1	1	1	1	1	2	1	4	2	1	4	2	2	2	3	2	2	4	8	5	2	8	5	6	2	2	3	8	8	8	8	2	8	5	7	2	4	6	4	2	5	2	7	4	5	2	7	なし	仏教式		大学・大学校	6	2	1	5
女性	30	北海道・東北	4	3	4	2	5	5	3	3	2	3	1	3	1	4	5	7	4	3	3	A	3	3	2	2	2	2	2	2	2	2	2	2	2	-2	-3	-1	-1	-2	-3	0	1	2	2	4	3	2	3	4	5	2	3	2	2	3	3	4	6	5	4	2	2	2	1	3	3	3	4	4	なし	無宗教式		大学・大学校	1	1	4	0
男性	22	中国・四国	4	4	4	3	4	5	5	4	4	6	6	5	5	4	5	6	1	5	5	A	4	1	2	2	2	2	1	1	1	1	2	1	1	-4	-3	-3	-2	3	1	9	6	2	5	8	7	3	5	1	10	7	9	1	9	10	7	6	6	2	4	4	5	3	3	5	5	5	5	7	なし	その他		大学・大学校	2	2	1	0
男性	39	近畿（関西）	3	3	3	3	1	3	1	1	4	4	4	4	4	4	4	4	4	4	4	A	4	4	4	4	4	4	4	4	4	4	4	4	4	0	0	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	なし	仏教式		高等学校	4	3	1	10
男性	28	関東	4	3	5	5	5	5	5	3	5	2	5	5	4	4	5	6	5	6	7	A	5	4	6	5	7	7	6	6	5	4	4	3	6	-2	0	0	-2	-2	-4	7	4	5	6	5	6	9	8	7	6	8	7	9	8	4	3	6	7	7	5	5	5	6	6	5	6	6	6	4	仏教	仏教式		専門学校・高等専門学校（高専）・短期大学	6	7	6	7
男性	37	関東	2	4	1	5	1	5	3	4	6	4	3	2	7	7	2	4	1	1	5	B	1	1	1	2	1	4	1	1	2	1	1	2	3	-3	-1	1	0	-1	1	8	5	7	0	6	7	0	8	6	8	8	5	7	4	7	5	7	3	6	5	5	1	3	1	7	5	6	2	6	なし	仏教式		専門学校・高等専門学校（高専）・短期大学	2	2	1	1
男性	25	関東	5	5	3	5	5	5	4	4	7	6	5	7	4	7	7	3	2	6	5	A	3	2	1	1	4	4	4	1	2	3	1	5	5	0	2	0	4	0	4	10	9	5	5	8	10	0	0	5	10	10	10	6	0	10	5	7	1	7	7	7	1	1	1	7	7	6	5	7	仏教	仏教式		大学・大学校	4	2	1	3
女性	26	関東	5	4	4	5	2	5	3	3	2	2	4	1	2	4	4	1	7	1	1	A	2	1	2	1	2	1	2	2	2	1	1	3	2	-3	-3	-2	0	-3	0	10	8	8	3	5	8	5	5	5	8	7	7	8	5	7	4	3	2	5	5	6	3	1	2	6	5	4	3	4	なし	仏教式		専門学校・高等専門学校（高専）・短期大学	5	2	1	0
女性	20	中部・北陸	4	3	3	3	5	4	2	3	7	6	6	7	6	3	5	5	3	5	7	A	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	3	2	2	2	6	3	6	4	3	4	4	3	1	9	2	2	2	0	3	4	7	6	5	4	4	4	3	3	4	6	7	7	6	仏教	仏教式		大学・大学校	4	5	2	1
女性	28	関東	5	5	5	5	5	5	5	5	7	7	7	7	7	7	7	7	1	7	7	A	1	1	1	1	1	1	1	1	1	1	1	3	1	3	3	3	4	4	4	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	6	6	6	6	6	6	6	6	6	6	6	6	6	6	キリスト	キリスト教式		大学・大学校	8	7	7	10
女性	25	関東	4	4	4	5	5	5	4	4	6	6	6	6	6	6	6	6	3	6	6	A	2	2	2	1	1	2	2	3	2	2	2	5	5	-1	1	1	2	1	1	8	10	6	7	4	10	4	4	6	6	6	6	6	6	6	7	6	5	3	6	6	4	3	1	6	7	5	7	5	仏教	仏教式		専門学校・高等専門学校（高専）・短期大学	3	6	1	2
男性	25	関東	5	5	5	5	5	5	5	5	7	7	7	7	7	7	7	7	7	7	7	A	2	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	6	6	6	6	6	6	6	6	6	6	6	6	6	6	4	5	5	5	6	5	4	4	5	6	6	4	5	5	5	仏教	仏教式		大学・大学校	4	3	3	4
男性	20	関東	5	5	5	4	5	5	4	5	4	4	4	4	4	4	4	4	4	4	7	A	1	1	1	1	1	1	1	1	1	1	1	1	1	4	3	4	4	2	3	5	5	5	5	10	10	10	10	10	10	10	10	10	10	10	7	7	7	7	7	7	7	7	7	6	5	7	7	7	なし	無宗教式		大学・大学校	8	8	8	10
女性	28	中部・北陸	5	5	4	4	4	5	4	4	6	5	4	4	3	5	5	4	5	3	4	A	4	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	2	1	2	7	8	7	7	8	8	8	8	8	8	8	8	8	8	8	5	6	2	5	6	6	2	3	3	6	5	1	5	3	多分ないかと思います	仏教式		専門学校・高等専門学校（高専）・短期大学	3	3	2	0
男性	44	近畿（関西）	5	5	5	5	1	3	1	2	6	4	3	2	7	7	7	5	1	4	6	B	3	1	1	7	3	3	3	1	4	1	1	4	4	0	0	2	1	0	1	0	2	0	0	0	6	0	0	0	6	0	1	0	0	1	5	6	1	5	7	4	2	7	7	7	4	5	4	5	なし	仏教式		高等学校	4	1	1	0
男性	40	関東	4	4	3	4	4	3	4	4	5	5	6	5	4	4	4	5	4	5	4	B	5	4	3	4	3	3	4	3	3	3	5	4	3	4	3	2	3	2	3	9	9	8	8	9	8	9	8	8	9	8	9	8	8	9	6	6	5	5	5	5	6	5	5	5	5	5	6	5	なし	仏教式		大学・大学校	5	1	8	0
男性	24	北海道・東北	5	5	5	4	2	5	4	2	6	7	4	3	6	7	7	3	2	6	6	A	2	1	1	2	2	2	2	1	1	2	1	3	2	1	1	3	4	1	-1	8	7	4	4	9	9	3	2	6	9	4	6	3	1	7	6	5	3	5	6	5	2	2	2	5	3	4	3	5	仏教	仏教式		大学・大学校	6	4	1	0
男性	37	近畿（関西）	4	4	3	3	2	3	3	2	5	3	2	2	2	6	2	1	3	2	2	A	5	4	4	5	5	4	4	3	4	4	2	3	5	-2	1	1	2	1	2	0	7	5	2	6	8	2	5	3	7	7	7	8	6	7	4	5	3	4	4	3	4	4	3	5	4	5	3	3	仏教	仏教式		高等学校	6	3	1	4
女性	23	関東	5	5	5	5	5	5	5	5	7	7	7	7	7	7	7	7	7	7	7	A	1	1	1	1	1	1	1	1	1	1	1	4	2	4	4	4	4	4	4	9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	7	7	7	7	7	7	7	7	7	7	7	7	7	7	なし	無宗教式		小学校	1	1	1	0
女性	24	九州・沖縄	5	5	4	4	5	5	5	4	7	5	5	4	5	7	5	3	1	2	7	A	1	1	1	1	7	7	7	7	1	1	1	7	1	-4	-4	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	9	8	7	6	7	1	1	1	7	1	1	1	1	7	7	1	1	7	なし	仏教式		高等学校	1	1	1	0
女性	20	関東	4	4	3	3	2	1	1	3	6	7	5	6	6	6	4	5	4	4	5	A	4	2	2	3	2	3	1	2	2	2	2	4	3	2	3	3	3	2	3	5	6	6	5	7	10	5	7	7	10	9	8	7	6	7	3	4	4	3	2	3	3	4	3	4	4	3	2	4	わからない	無宗教式		高等学校	4	3	3	3
女性	30	近畿（関西）	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	A	1	1	2	1	1	1	1	1	1	1	1	1	1	-4	-4	-4	-4	-4	-4	8	10	7	3	5	7	4	3	2	3	4	6	1	0	7	1	1	1	1	2	3	3	7	4	2	4	3	4	2	なし	キリスト教式		大学・大学校	5	6	7	3
女性	38	関東	5	5	5	4	5	5	5	5	4	4	4	4	4	7	5	3	5	3	3	A	2	1	1	1	1	1	1	1	1	1	1	2	1	1	0	3	2	2	2	5	6	6	5	6	6	6	6	5	6	8	7	8	7	6	4	6	2	4	4	4	2	5	3	6	5	4	2	2	なし	仏教式		専門学校・高等専門学校（高専）・短期大学	6	1	1	2
女性	20	関東	3	3	3	4	4	3	3	3	5	4	4	5	3	4	4	4	4	4	4	A	4	1	4	4	4	3	4	4	5	4	4	4	3	0	0	0	0	0	0	5	5	5	5	5	5	5	5	4	5	5	7	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	なし	無宗教式		大学・大学校	3	5	4	4
女性	35	北海道・東北	3	4	3	4	4	3	3	4	5	5	3	4	3	4	4	3	2	3	2	A	1	1	1	1	1	1	1	1	5	1	1	3	1	1	1	-1	1	-1	4	7	6	5	9	9	9	8	7	10	0	8	10	2	7	10	4	4	7	2	3	3	4	4	2	3	2	3	7	5	真言宗	仏教式		大学院	3	3	3	3
女性	60	近畿（関西）	5	4	3	4	5	4	4	2	5	2	2	3	3	4	1	3	6	1	1	A	1	1	1	1	1	1	1	1	1	1	1	1	1	-4	-4	3	3	2	2	0	6	0	0	5	6	5	5	5	6	5	6	5	5	6	5	6	1	6	7	4	1	1	1	5	5	6	2	4	なし	仏教式		大学・大学校	4	3	1	8
男性	60	近畿（関西）	5	5	5	3	1	5	1	5	7	4	3	2	5	7	2	5	6	5	5	A	5	2	2	2	2	2	1	6	6	2	2	6	6	-2	2	2	3	3	3	7	7	7	2	9	9	2	2	7	7	6	2	2	2	6	6	6	6	2	2	6	2	2	2	6	6	3	3	2	なし	仏教式		大学・大学校	7	4	1	0
男性	57	関東	4	4	4	4	4	4	4	4	6	6	6	6	6	6	6	6	6	6	6	A	2	2	2	2	2	2	2	2	2	2	2	2	2	-1	-1	-1	-1	-1	-1	5	7	5	4	1	6	1	5	1	6	6	6	6	6	6	3	5	2	4	3	5	2	4	2	5	4	3	4	3	なし	無宗教式		大学・大学校	4	1	1	3
女性	30	関東	3	3	3	4	3	4	4	3	6	5	4	5	4	5	5	5	3	5	4	A	1	1	1	1	1	1	1	2	2	1	1	1	1	0	0	1	1	1	2	5	5	5	7	7	5	5	5	6	7	6	5	5	5	5	6	4	2	5	4	5	3	3	3	4	5	5	5	5	なし	仏教式		高等学校	6	4	1	2
男性	44	中国・四国	5	5	5	3	3	4	3	4	3	2	2	1	1	6	6	1	5	2	2	A	4	1	2	2	2	1	1	1	7	1	1	2	2	-1	1	1	0	0	2	7	6	8	6	6	7	7	9	6	7	8	7	8	8	7	5	5	4	4	5	4	4	3	3	4	5	4	5	3	なし	無宗教式		大学・大学校	4	1	1	0
女性	25	近畿（関西）	5	5	3	5	4	5	5	3	3	2	5	3	4	3	4	2	1	1	1	A	5	3	2	2	2	1	2	3	4	2	1	4	3	2	2	-3	-4	-1	4	0	8	3	8	7	7	3	6	3	8	10	7	8	0	3	3	4	4	5	2	5	4	1	4	4	5	3	5	5	なし	仏教式		高等学校	4	7	1	0
女性	28	関東	3	4	3	5	1	3	4	4	6	7	4	4	5	1	3	4	5	7	6	A	1	1	1	1	1	1	1	1	4	1	1	6	6	-4	1	3	4	1	0	8	0	0	10	4	7	5	2	7	10	7	4	2	5	5	7	5	6	5	4	5	5	4	4	4	3	2	4	4	なし	無宗教式		大学・大学校	1	2	1	0
女性	24	北海道・東北	4	4	4	3	3	5	2	4	4	4	4	4	4	4	4	4	3	4	4	A	4	2	2	2	2	2	2	2	2	2	2	3	3	0	2	0	0	0	0	7	6	5	7	6	5	6	3	5	5	5	5	5	5	4	4	5	3	3	5	5	5	4	4	4	5	3	4	4	仏教	仏教式		専門学校・高等専門学校（高専）・短期大学	7	2	1	2
女性	35	関東	3	4	3	3	1	3	2	4	5	7	6	6	3	6	4	4	4	4	4	A	1	1	1	1	1	1	1	1	1	1	1	2	2	0	0	0	0	0	0	3	5	5	5	5	5	5	5	5	5	5	5	4	2	5	5	3	1	4	6	2	1	2	1	4	6	7	4	7	なし	仏教式		大学・大学校	1	1	1	0
女性	36	中部・北陸	3	3	4	4	3	5	5	4	4	4	4	4	4	4	4	4	4	4	4	A	2	2	2	2	2	1	1	2	4	2	1	3	3	1	1	1	2	1	2	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	3	3	5	3	3	4	3	5	4	5	3	3	なし	仏教式		専門学校・高等専門学校（高専）・短期大学	4	1	1	2
男性	35	近畿（関西）	4	3	2	3	1	2	3	2	1	2	2	1	2	6	5	1	2	2	3	A	5	4	2	3	4	3	2	1	4	3	1	6	6	-3	-3	-3	-4	-3	-4	3	7	1	0	5	9	0	1	0	10	5	7	7	0	10	3	6	5	2	5	6	3	3	2	4	4	3	3	5	なし	仏教式		大学院	5	8	1	3
女性	21	関東	2	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	B	4	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	5	5	5	1	4	1	4	5	4	4	4	なし	無宗教式		高等学校	4	4	2	1
女性	22	関東	4	4	3	3	1	4	1	3	5	6	7	7	6	6	5	5	5	5	5	A	2	3	3	4	3	2	2	3	3	3	1	5	3	1	3	2	2	1	0	7	6	5	5	4	5	3	2	5	9	7	5	6	6	6	5	4	5	3	4	4	5	4	6	3	5	4	5	3	キリスト教	仏教式		大学・大学校	7	5	4	4
男性	54	北海道・東北	4	4	3	2	1	1	1	1	5	5	3	3	4	5	5	4	1	5	4	B	4	1	1	1	1	1	2	1	2	2	1	4	4	-4	-3	-3	-4	-3	0	7	5	5	0	1	5	0	0	0	8	0	0	0	0	0	4	4	4	4	3	4	3	3	3	5	4	3	3	3	仏教	仏教式		専門学校・高等専門学校（高専）・短期大学	7	1	1	2
男性	35	中部・北陸	3	3	3	3	3	3	3	2	4	3	3	5	3	4	4	4	3	5	4	A	3	4	4	3	3	3	3	4	3	3	3	3	3	0	1	0	0	-1	-1	4	4	3	4	3	3	3	3	4	3	4	4	3	3	3	3	3	3	2	3	3	4	3	3	3	3	3	3	4	なし	無宗教式		大学・大学校	3	3	4	0
女性	20	中部・北陸	3	3	4	2	1	3	3	2	6	6	4	6	6	4	5	5	5	5	5	A	2	1	1	2	1	2	1	2	1	1	1	3	2	0	0	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	なし	無宗教式		大学・大学校	4	4	4	4
女性	20	関東	5	5	3	3	2	5	3	1	4	5	4	5	1	7	4	5	1	3	6	A	1	1	1	1	1	1	2	1	4	5	1	3	4	1	1	1	-2	0	3	6	0	0	9	8	8	0	10	7	10	9	3	6	5	3	1	2	3	5	3	7	3	4	3	7	6	1	3	6	なし	仏教式		高等学校	7	4	1	1
男性	46	近畿（関西）	4	4	4	4	4	4	4	4	4	4	4	3	4	5	4	4	3	4	4	A	3	1	1	2	1	1	1	1	1	1	1	1	1	-3	-3	-3	3	3	3	2	2	2	3	3	3	3	3	3	2	2	4	4	4	3	4	5	5	4	4	3	4	6	6	6	6	5	5	6	なし	無宗教式		大学・大学校	4	4	2	0
女性	20	関東	4	4	3	4	5	4	2	3	3	5	3	2	3	3	4	3	2	5	5	A	1	2	1	1	1	2	4	1	2	2	1	7	4	1	1	3	3	1	2	6	2	0	6	1	2	1	6	4	7	7	6	8	1	9	3	7	2	3	4	4	2	1	1	6	3	3	7	2	ない	仏教式		高等学校	2	2	1	4
女性	44	北海道・東北	3	4	3	2	1	3	1	3	4	4	4	4	4	4	4	4	4	4	4	A	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1	-2	1	5	5	5	6	2	1	2	5	1	8	2	6	2	6	6	4	4	4	4	4	4	4	4	4	4	4	4	3	4	なし	無宗教式		高等学校	1	2	1	0
女性	20	北海道・東北	4	4	4	4	5	5	5	4	3	7	7	6	4	4	4	4	1	2	3	A	3	3	2	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	5	5	6	9	5	4	5	4	3	4	6	4	7	3	1	5	5	4	5	4	4	4	2	2	4	3	3	4	7	なし	無宗教式		大学・大学校	1	1	1	10
