Gender	Age	AN_1	AN_2	AN_3	AN_4	AN_5	AN_6	AN_7	AN_8	AC_1	AC_2	AC_3	AC_4	AC_5	AC_6*	AC_7	AC_8	AC_9*	AC_10	AC_11	RATE_WITCH	MR_1	MR_2	MR_3	MR_4	MR_5	MR_6	MR_7	MR_8	MR_9	MR_10	MR_11	MR_12	MR_13	SBS_1	SBS_2	SBS_3	SBS_4	SBS_5	SBS_6	AM_1	AM_2	AM_3	AM_4	AM_5	AM_6	AM_7	AM_8	AM_9	AM_10	AM_11	AM_12	AM_13	AM_14	AM_15	IRI_2:EC	IRI_3:PT*	IRI_4:EC*	IRI_8:PT	IRI_9:EC	IRI_11:PT	IRI_14:EC*	IRI_15:PT*	IRI_18:EC*	IRI_20:EC	IRI_21:PT	IRI_22:EC	IRI_25:PT	IRI_28:PT	REL	EDU	EXP1	EXP2	EXP3	RHAB
Female	37	5	4	1	3	5	2	4	3	7	7	1	7	7	4	6	7	4	3	4	A	3	7	3	6	7	7	3	7	7	7	7	7	7	1	2	4	4	4	4	0	3	0	0	5	8	0	0	0	9	0	2	3	3	8	7	3	2	6	6	5	3	4	2	6	7	5	6	7	 Catholic	University / College / Undergraduate School (Bachelor Degree)	5	5	1	6
Male	45	5	4	5	4	5	5	4	5	7	6	7	6	7	7	7	6	7	6	7	A	7	6	7	7	7	6	7	7	7	7	7	6	7	3	4	4	4	4	4	10	10	8	5	5	0	0	0	0	0	0	10	5	0	5	7	6	7	7	6	7	7	6	7	7	6	7	7	7	Catholic	Graduate University / Professional School (Master's Degree, Doctoral Degree)	6	5	6	10
Male	49	5	5	3	5	5	5	5	5	7	7	4	6	5	4	2	6	4	6	5	A	1	1	4	1	1	1	1	1	2	1	1	1	1	4	4	4	4	4	4	5	10	0	0	5	8	0	5	0	5	0	5	5	5	7	7	3	6	7	7	6	2	6	1	6	7	4	6	6	Christianity	Graduate University / Professional School (Master's Degree, Doctoral Degree)	7	6	1	10
Female	31	2	3	1	4	2	3	4	2	2	3	3	2	3	6	3	2	1	3	2	A	4	2	5	5	4	4	3	3	5	5	4	4	4	3	3	3	4	4	4	5	4	6	0	1	5	0	7	2	8	6	8	9	7	7	3	3	6	5	6	6	2	4	2	4	4	6	4	4	Christian	Vocational School / Technical College / Communication College (Associate Degree)	1	1	1	3
Female	22	1	1	1	5	5	3	2	1	4	1	1	4	3	7	1	1	5	3	1	B	1	3	3	3	3	3	1	1	1	1	1	1	1	0	0	4	4	4	4	7	6	0	0	0	6	0	0	0	10	0	6	0	0	6	7	4	1	5	6	6	1	4	1	7	6	7	5	5	Wiccan	Vocational School / Technical College / Communication College (Associate Degree)	2	1	1	8
Male	47	4	4	2	4	3	5	3	1	6	6	1	3	3	7	3	5	1	1	2	A	1	2	1	3	2	1	1	1	3	1	1	1	1	-3	-3	2	2	0	-3	2	6	2	1	3	8	1	8	6	8	10	4	4	4	6	5	4	5	4	6	5	5	5	2	4	7	5	3	4	Uniterian Universalist	Graduate University / Professional School (Master's Degree, Doctoral Degree)	2	2	3	10
Male	25	5	5	5	5	5	5	5	5	7	7	7	7	6	7	7	7	5	7	7	A	7	5	5	4	1	1	3	1	7	1	1	1	1	4	4	4	4	4	4	8	7	0	7	8	6	0	8	0	9	10	4	3	8	10	7	4	1	7	7	7	1	5	1	7	7	7	7	7	Christainity	University / College / Undergraduate School (Bachelor Degree)	7	6	3	10
Male	60	4	3	1	4	4	1	1	1	7	6	4	4	4	5	3	4	3	4	3	A	2	2	2	3	3	2	1	2	5	2	2	2	2	4	4	4	4	4	4	3	6	4	1	5	4	3	2	1	2	4	2	2	3	4	6	2	2	7	7	6	2	2	2	6	5	4	5	5	Christian	Vocational School / Technical College / Communication College (Associate Degree)	2	4	1	10
Male	43	4	3	4	3	4	4	4	4	6	5	6	6	5	6	5	5	6	6	6	A	5	6	5	2	4	6	6	5	5	5	4	5	5	3	2	0	0	0	1	8	7	8	7	8	7	8	8	8	8	8	7	8	8	7	5	5	4	5	6	5	5	6	5	5	5	6	5	6	orthodox	Graduate University / Professional School (Master's Degree, Doctoral Degree)	6	1	6	7
Female	20	4	4	4	5	4	4	4	4	5	3	5	2	7	7	2	5	7	2	2	A	1	1	5	1	1	1	1	1	1	1	1	1	1	3	3	3	3	3	4	10	7	10	0	10	7	0	0	0	7	10	10	10	0	10	5	1	1	7	7	7	7	1	1	7	7	7	7	7	Christian	Vocational School / Technical College / Communication College (Associate Degree)	2	1	1	9
Female	24	3	3	3	4	4	4	4	2	5	3	4	3	3	4	2	3	5	3	2	A	4	1	3	2	2	1	2	2	4	1	1	2	3	0	1	0	0	1	1	2	6	0	0	5	7	0	0	3	8	0	7	4	1	7	5	4	4	5	5	5	3	4	2	5	6	5	4	3	Buddhism	University / College / Undergraduate School (Bachelor Degree)	4	2	1	2
Male	36	5	4	4	4	5	3	5	4	7	6	6	7	7	5	6	6	6	7	7	A	5	4	6	7	5	6	7	3	7	5	7	6	4	4	4	4	4	4	4	7	7	8	5	6	8	6	8	5	10	8	10	10	8	10	6	6	5	6	7	6	4	7	7	6	6	6	6	6	Christian	Graduate University / Professional School (Master's Degree, Doctoral Degree)	6	6	1	10
Female	57	5	5	4	5	4	3	5	3	1	3	4	3	3	7	3	3	1	3	3	B	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	5	4	0	0	0	5	0	0	0	7	0	6	6	0	6	7	4	3	6	6	6	3	6	2	6	6	2	5	6	Lutheran.	University / College / Undergraduate School (Bachelor Degree)	1	2	1	10
Male	37	1	2	5	3	2	3	2	2	4	1	3	2	3	2	2	3	3	7	4	A	3	3	3	2	4	6	4	5	4	1	1	1	1	-4	4	-1	-2	-3	-4	3	4	3	4	4	4	7	6	3	2	0	0	2	6	1	4	7	6	3	3	2	3	4	4	6	7	6	5	6	Islam	Vocational School / Technical College / Communication College (Associate Degree)	3	3	3	6
Male	35	4	4	4	4	4	4	4	4	7	7	7	7	6	6	6	6	6	6	6	A	7	7	7	6	6	6	6	6	6	6	7	7	7	3	3	3	3	3	3	9	9	9	8	8	9	9	9	9	8	9	9	8	9	8	6	6	6	5	6	5	6	5	6	5	6	6	6	5	Christian	University / College / Undergraduate School (Bachelor Degree)	6	1	1	5
Male	30	5	5	5	5	5	5	5	5	7	7	7	7	7	7	7	7	7	7	7	B	7	7	7	7	7	7	7	7	7	7	7	7	7	4	4	4	4	4	4	10	10	10	10	10	10	10	10	10	10	10	10	9	10	10	7	7	7	7	7	7	7	7	7	7	7	7	7	7	Alabama	University / College / Undergraduate School (Bachelor Degree)	8	8	8	10
Female	50	4	3	4	3	4	3	4	4	5	4	5	4	5	4	5	5	5	5	4	A	5	5	5	6	4	5	6	5	6	6	5	6	5	2	2	0	1	2	0	8	7	8	6	8	6	8	6	8	7	8	7	8	8	8	5	5	6	5	6	5	6	5	6	4	6	5	5	5	Roman chathic	Graduate University / Professional School (Master's Degree, Doctoral Degree)	6	6	6	7
Female	32	3	1	1	1	4	3	1	1	6	7	4	4	1	5	1	1	6	1	1	A	3	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	0	8	0	0	0	8	0	8	0	8	5	10	9	5	10	5	3	6	7	7	7	2	7	1	6	6	3	7	7	Christian 	University / College / Undergraduate School (Bachelor Degree)	1	2	2	10
Male	29	5	4	5	5	4	2	5	5	7	4	7	6	5	7	3	3	4	1	1	A	5	6	2	4	1	1	2	3	6	7	6	5	7	4	4	4	4	4	4	10	10	10	0	0	0	0	10	10	9	10	10	10	10	10	6	3	2	7	5	5	7	7	1	4	7	4	6	6	Christian	Graduate University / Professional School (Master's Degree, Doctoral Degree)	1	1	1	10
Male	57	4	4	3	5	4	4	3	3	7	6	4	6	5	3	4	5	1	5	4	A	1	3	4	3	2	1	1	1	5	1	1	4	2	4	3	4	4	4	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	5	2	2	6	6	5	3	1	2	4	6	4	6	6	Baptist	Other	6	1	1	3
Female	34	5	5	5	5	5	5	5	4	7	7	6	4	6	6	6	6	5	6	7	B	7	5	6	4	6	7	6	7	5	6	7	7	7	4	4	3	4	2	4	10	10	9	10	10	10	7	6	5	8	7	9	8	10	8	7	7	6	5	7	6	5	5	4	6	6	5	7	7	Catholic 	Vocational School / Technical College / Communication College (Associate Degree)	7	6	6	4
Female	60	1	1	1	1	1	1	1	1	7	7	4	7	7	4	3	7	7	7	7	A	7	7	7	7	7	7	7	7	7	7	7	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	3	5	1	4	7	1	5	5	4	1	5	Protestant	Vocational School / Technical College / Communication College (Associate Degree)	5	1	1	0
Male	55	4	4	3	4	2	1	3	1	7	7	4	6	6	6	5	6	2	6	5	A	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	3	2	6	5	2	2	7	2	5	3	7	4	6	6	3	6	6	3	5	5	6	6	2	5	2	5	5	5	5	5	catholic	University / College / Undergraduate School (Bachelor Degree)	5	4	2	4
Female	21	3	5	5	4	1	2	3	3	7	4	5	3	2	5	5	6	2	4	1	A	1	1	1	3	1	1	1	1	4	1	1	1	1	2	3	3	0	3	2	0	5	0	0	5	8	0	3	0	10	5	10	6	2	10	7	5	5	6	6	3	7	7	2	5	5	7	1	3	christian 	Vocational School / Technical College / Communication College (Associate Degree)	1	1	1	4
Female	20	5	5	5	5	5	5	5	5	5	7	7	7	7	7	7	7	7	7	7	A	1	7	1	1	7	7	7	7	7	6	7	7	7	4	4	-4	4	4	4	10	10	10	0	0	5	0	0	0	10	0	0	0	0	0	7	1	1	1	7	7	1	1	1	7	7	5	1	7	Christian 	Junior High School / Middle School	1	1	1	0
Female	26	3	4	5	5	2	2	5	1	7	6	2	7	7	6	1	7	1	6	6	A	4	5	1	1	1	1	1	1	4	1	1	1	1	4	4	4	4	4	4	5	0	0	0	0	5	0	5	0	5	5	5	0	5	5	7	1	1	4	7	7	1	7	1	7	4	7	4	4	Christian	Other	1	1	1	10
Other	22	4	4	3	4	3	4	4	3	4	3	3	4	3	6	4	4	6	4	3	A	3	3	3	2	2	2	2	1	3	1	1	3	3	3	2	3	2	2	2	7	7	5	5	6	8	5	5	6	8	5	7	5	5	8	7	4	2	4	7	7	3	7	2	7	4	4	4	4	Agnostic	University / College / Undergraduate School (Bachelor Degree)	3	5	1	0
Male	30	2	1	1	5	3	4	4	1	7	7	4	7	4	3	4	7	1	7	7	A	4	3	2	1	2	3	3	1	7	1	1	5	5	4	4	4	4	4	4	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	7	1	1	7	6	7	1	3	1	6	7	6	4	7	Christian	University / College / Undergraduate School (Bachelor Degree)	4	1	1	10
Female	35	4	3	1	5	1	4	4	1	7	6	3	4	5	6	4	5	4	5	2	B	1	2	4	3	5	1	2	3	4	2	3	4	2	-4	-4	0	0	0	-4	5	8	10	0	0	9	0	0	0	10	0	10	10	4	10	7	1	3	7	5	7	1	3	1	6	6	4	6	4	Atheist	Vocational School / Technical College / Communication College (Associate Degree)	2	1	1	0
Male	45	4	4	4	4	4	4	4	4	6	6	6	6	6	6	6	6	6	6	6	A	6	6	6	6	6	6	6	6	6	6	6	6	6	3	3	3	3	3	3	9	9	8	8	8	8	10	8	8	8	8	8	8	8	8	6	6	6	6	6	6	6	6	6	6	6	6	6	6	Roman catholic 	University / College / Undergraduate School (Bachelor Degree)	6	6	5	2
Male	33	3	4	2	4	4	4	4	3	5	4	1	1	1	6	4	2	6	2	2	B	2	1	1	1	1	1	1	1	1	1	1	1	1	0	4	4	4	4	4	0	3	5	0	3	8	0	5	5	8	5	7	7	5	9	5	2	4	5	6	6	3	2	1	5	5	4	3	5	None	University / College / Undergraduate School (Bachelor Degree)	5	5	2	1
Male	54	5	5	3	4	1	3	4	1	5	1	6	1	4	7	2	1	4	1	5	B	1	1	1	1	1	1	1	1	4	1	1	1	1	0	0	0	1	1	4	5	6	5	0	5	9	5	7	8	9	9	6	9	5	5	7	4	6	6	7	6	2	5	1	7	7	7	5	5	none	Vocational School / Technical College / Communication College (Associate Degree)	5	2	1	0
Male	38	5	3	4	4	5	3	4	4	7	7	7	7	6	5	6	6	6	7	5	A	5	6	5	6	4	7	4	7	4	4	6	7	6	4	4	4	0	2	4	8	4	6	8	9	9	9	4	6	8	6	7	9	6	3	7	6	7	5	6	6	6	5	7	6	5	4	6	7	Catholic 	Graduate University / Professional School (Master's Degree, Doctoral Degree)	7	7	4	2
Female	34	4	4	3	4	4	2	3	2	2	2	2	4	2	2	2	3	1	7	6	A	1	3	2	2	2	1	2	1	2	1	2	2	2	4	4	4	4	4	4	0	10	10	0	0	0	0	0	0	10	0	10	1	4	10	7	7	2	6	7	6	2	1	1	7	7	7	4	4	Christian	Junior High School / Middle School	3	1	1	10
Female	22	1	1	2	4	5	3	1	4	4	6	1	3	3	6	3	1	3	4	4	A	7	1	1	1	1	2	1	1	1	1	1	1	1	3	0	-2	-3	3	3	2	3	1	2	1	1	4	1	2	1	2	8	4	2	1	1	3	4	4	4	2	1	2	7	6	5	5	3	4	Christianity	Junior High School / Middle School	2	2	5	3
Female	28	5	4	4	5	3	4	4	3	7	7	5	7	5	6	6	7	5	6	6	A	2	2	1	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	10	10	8	6	9	10	7	10	9	10	10	10	10	10	10	7	5	1	6	7	7	3	3	1	7	7	7	5	7	Christian 	Junior High School / Middle School	5	2	1	10
Female	43	2	4	3	3	2	3	1	2	4	5	3	1	2	4	3	2	3	2	2	A	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	4	2	6	6	6	3	6	2	4	5	7	7	7	Christian 	Other	5	3	1	1
Female	27	4	3	1	3	1	5	2	1	4	1	4	1	4	7	1	1	6	1	1	A	2	1	1	1	1	1	1	1	2	1	1	2	2	3	3	3	2	3	3	7	10	0	0	5	5	0	0	0	10	5	10	5	0	9	4	4	2	5	6	4	2	1	1	5	4	4	2	5	Christianity	Other	1	1	1	0
Male	59	4	4	2	5	2	3	4	2	7	4	4	4	3	6	2	6	1	4	1	B	1	1	4	1	1	1	1	1	4	1	1	1	1	4	4	4	4	4	4	0	3	0	0	0	4	0	0	0	10	9	6	0	0	5	7	5	5	7	7	7	2	1	1	7	7	6	7	7	Baptist 	Vocational School / Technical College / Communication College (Associate Degree)	8	1	1	10
Female	42	3	5	4	4	4	4	4	4	6	4	4	4	4	6	5	4	4	4	4	A	4	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	4	5	3	3	2	5	5	2	2	1	5	3	3	2	2	2	6	5	4	6	5	5	3	4	5	6	4	5	4	3	Catholic	Vocational School / Technical College / Communication College (Associate Degree)	6	2	1	2
Male	21	5	5	3	5	3	4	4	5	5	1	4	3	1	7	1	5	7	1	1	B	4	1	1	2	1	1	1	1	1	1	1	1	1	0	4	4	0	4	4	0	10	0	0	3	10	0	5	3	10	10	10	5	5	10	7	3	7	5	7	3	3	4	3	5	7	7	5	6	Agnostic 	University / College / Undergraduate School (Bachelor Degree)	6	3	1	0
Male	30	2	1	1	3	1	3	4	2	6	7	6	7	6	1	6	7	6	6	6	A	3	5	3	3	3	3	6	5	6	2	1	3	2	4	3	3	4	4	4	1	6	0	0	3	8	0	0	0	9	0	8	1	0	9	6	2	1	5	7	6	1	6	1	6	6	6	6	6	Christian 	Graduate University / Professional School (Master's Degree, Doctoral Degree)	6	4	1	10
Female	40	4	4	3	5	4	4	4	4	4	1	4	1	1	7	2	1	4	1	1	A	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	5	10	10	5	5	10	5	10	0	10	10	10	10	10	10	7	1	1	7	7	7	1	1	1	7	7	7	7	7	None	Vocational School / Technical College / Communication College (Associate Degree)	4	2	2	10
Female	23	4	4	3	5	5	5	4	5	4	2	5	2	1	7	2	2	1	1	5	A	4	4	5	1	4	1	1	1	5	1	1	2	3	4	4	4	4	4	4	5	10	0	0	2	6	5	4	6	10	9	10	7	5	10	6	4	2	4	6	6	2	3	2	7	5	7	4	5	LDS	University / College / Undergraduate School (Bachelor Degree)	3	2	1	10
Female	51	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	7	4	1	A	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0	5	5	0	0	5	0	0	5	5	5	5	5	5	5	6	3	3	3	4	6	3	3	2	6	6	6	5	6	Self	Vocational School / Technical College / Communication College (Associate Degree)	2	1	1	1
Male	56	1	2	1	5	2	2	3	1	7	7	4	4	3	4	7	7	1	4	3	B	7	7	6	7	7	4	4	1	7	7	1	7	7	4	4	4	4	3	0	0	7	0	0	1	7	0	0	0	9	0	5	0	0	5	4	2	7	5	4	5	6	6	4	4	5	3	5	5	nonpracticing nondenominatinal Christian	University / College / Undergraduate School (Bachelor Degree)	7	8	6	0
Male	29	1	1	1	5	2	4	4	1	7	7	1	4	4	4	7	1	1	4	2	A	4	4	4	4	4	4	4	4	4	4	4	4	4	-4	-4	-4	-4	-4	-4	0	0	5	0	0	0	0	0	0	7	0	1	0	0	3	5	3	1	5	6	6	1	4	1	5	5	6	5	4	None	Other	5	3	1	2
Female	50	5	5	1	4	3	1	4	1	7	4	6	7	4	4	5	5	5	4	6	A	2	1	1	1	1	1	1	2	2	3	2	2	2	4	4	4	4	4	4	10	5	10	5	5	7	5	10	5	10	10	7	10	10	5	5	6	7	7	5	4	4	5	2	6	7	5	4	2	baptist	Vocational School / Technical College / Communication College (Associate Degree)	6	5	6	3
Male	46	4	3	4	4	4	3	3	4	5	7	5	5	6	5	6	5	3	7	6	A	6	5	5	6	5	5	5	5	5	5	5	5	4	4	4	4	3	3	3	9	8	9	9	6	8	7	8	8	9	7	8	8	7	8	5	6	5	5	6	6	7	6	6	6	6	4	5	6	Christian 	Graduate University / Professional School (Master's Degree, Doctoral Degree)	7	3	1	6
Female	20	5	4	4	5	5	5	4	4	6	4	4	1	1	7	1	1	6	2	1	B	3	1	2	1	1	1	1	1	1	1	1	1	1	0	1	4	3	3	3	1	8	0	0	3	6	0	0	0	7	1	10	2	0	10	7	1	1	7	7	7	2	1	2	6	7	7	6	7	None	Other	5	5	2	1
Female	20	5	5	3	5	5	5	5	4	7	7	7	5	7	6	7	7	6	5	6	A	4	4	4	4	4	4	1	1	3	1	1	4	4	2	2	4	4	4	4	0	5	0	0	5	5	5	0	0	10	0	10	0	5	10	7	1	1	7	7	7	5	7	2	7	7	4	5	6	None	Vocational School / Technical College / Communication College (Associate Degree)	1	1	1	0
Male	34	5	5	5	5	5	5	5	5	7	7	7	7	7	7	7	7	7	7	7	A	7	7	7	7	7	7	7	7	7	7	7	7	7	4	4	4	4	4	4	10	10	10	10	10	10	10	10	10	10	10	10	5	5	10	7	4	2	7	7	7	7	7	2	7	7	7	7	7	Christianity 	Graduate University / Professional School (Master's Degree, Doctoral Degree)	7	7	7	9
Male	51	5	5	5	5	1	1	5	1	7	4	1	5	7	4	7	4	1	1	4	A	1	1	1	4	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	10	5	10	0	0	5	5	0	0	5	5	5	0	5	10	1	1	1	7	7	7	1	7	1	7	7	7	7	7	Methodist 	Vocational School / Technical College / Communication College (Associate Degree)	2	1	1	2
Female	34	4	4	4	5	2	2	5	2	7	7	7	7	6	7	6	7	1	7	7	A	6	5	2	2	1	1	1	3	2	1	1	4	4	4	3	4	4	3	4	8	9	2	2	8	8	3	8	9	10	10	10	8	9	9	7	5	1	5	7	7	1	6	1	7	6	7	6	7	No religion 	University / College / Undergraduate School (Bachelor Degree)	5	1	1	0
Male	45	3	4	3	3	3	4	2	3	3	4	5	4	5	4	5	4	4	5	5	B	5	4	5	4	5	4	4	5	5	4	5	4	5	0	1	-1	1	1	0	5	6	4	6	5	6	5	6	5	6	5	4	6	5	6	4	5	4	3	5	4	6	3	4	5	4	3	5	4	Protestant 	Vocational School / Technical College / Communication College (Associate Degree)	4	3	4	3
Male	40	4	4	3	4	4	4	4	5	7	6	6	7	6	7	6	7	6	6	7	A	2	2	3	2	2	1	1	1	4	3	3	3	1	2	2	3	4	3	0	8	7	7	9	7	6	6	5	1	5	6	9	1	1	4	6	5	7	6	7	6	4	2	2	6	6	6	2	6	Protestant 	Graduate University / Professional School (Master's Degree, Doctoral Degree)	6	4	5	10
Female	40	5	4	3	4	5	5	4	4	7	6	4	5	7	6	6	5	6	4	7	A	1	1	2	1	1	1	1	1	2	1	1	1	1	4	4	3	2	4	4	10	9	8	8	9	8	1	2	5	5	8	8	7	7	9	6	4	1	7	5	7	3	5	1	3	7	7	7	7	Christian 	Graduate University / Professional School (Master's Degree, Doctoral Degree)	7	6	7	10
Female	52	5	5	5	4	3	3	4	1	6	4	4	2	2	4	2	2	4	2	2	B	1	1	4	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	10	0	0	0	10	0	0	0	10	0	10	0	0	10	7	7	1	7	7	7	1	1	1	7	7	6	7	7	Catholic 	Other	4	2	2	6
Male	30	1	5	1	2	1	1	2	1	1	2	1	3	1	1	4	1	2	1	7	A	7	6	1	1	7	1	7	1	7	1	7	4	1	4	4	0	-4	4	4	0	5	0	10	10	10	0	10	10	0	0	0	0	10	10	1	7	7	1	1	7	7	7	7	7	1	7	7	7	Muslim 	University / College / Undergraduate School (Bachelor Degree)	8	1	7	0
Female	42	5	5	5	5	1	1	5	1	4	4	4	4	4	4	4	6	1	4	3	A	1	1	4	7	7	1	1	1	1	1	1	1	1	4	4	4	4	4	4	10	0	0	0	0	0	0	0	0	10	10	0	0	0	0	7	1	1	7	7	7	1	7	1	7	7	7	7	7	Babtist	University / College / Undergraduate School (Bachelor Degree)	1	1	1	10
Male	30	5	4	5	4	5	5	4	5	6	7	5	6	6	7	5	5	6	6	7	A	7	6	6	5	6	6	7	5	6	6	7	6	7	4	2	3	2	3	3	10	9	8	9	9	10	9	9	10	9	10	9	8	9	8	6	6	5	5	7	6	7	6	7	6	6	7	5	6	California	University / College / Undergraduate School (Bachelor Degree)	6	7	7	8
Male	30	5	5	2	5	3	4	4	2	7	6	3	7	3	7	6	6	3	6	6	A	3	7	5	7	7	4	1	2	7	1	1	7	6	-4	-4	-4	-4	-4	-3	0	2	0	0	0	3	0	0	0	3	0	1	0	0	2	7	7	1	7	7	7	1	1	1	7	7	5	7	7	Atheist 	University / College / Undergraduate School (Bachelor Degree)	8	6	5	0
Female	54	1	2	1	3	4	4	4	3	7	7	4	6	6	5	6	7	2	6	6	A	5	4	5	5	5	4	5	4	5	4	3	4	4	4	2	3	3	3	3	0	5	3	1	0	5	0	2	1	6	5	6	6	6	7	6	3	4	5	5	5	3	5	5	4	4	5	4	4	roman catholic	Vocational School / Technical College / Communication College (Associate Degree)	2	1	1	10
Male	35	5	5	4	5	5	5	5	5	7	7	7	7	7	7	7	7	2	7	7	A	6	3	5	1	1	3	1	5	7	6	2	7	4	4	4	4	4	4	3	10	9	10	5	6	7	5	7	7	6	8	8	6	7	10	6	1	1	7	7	7	1	7	2	7	7	4	5	7	Christianity	Graduate University / Professional School (Master's Degree, Doctoral Degree)	8	5	1	10
Male	20	3	4	4	5	1	3	5	2	6	4	7	4	6	6	2	6	7	4	3	A	3	4	6	4	3	5	1	2	2	2	2	2	5	0	1	1	2	-2	-1	5	7	0	8	0	5	0	5	5	5	6	7	0	0	5	6	6	6	7	6	7	5	4	1	5	5	7	4	4	Not a believer.	Other	2	2	1	0
Male	36	5	4	3	4	4	3	3	2	6	6	4	5	7	5	6	4	7	5	4	B	7	2	2	2	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	8	9	5	6	9	6	8	8	6	10	4	1	6	9	5	7	2	6	6	5	5	5	5	4	3	4	7	3	4	Catholic	Graduate University / Professional School (Master's Degree, Doctoral Degree)	6	5	7	9
Male	42	5	4	4	4	3	4	3	2	7	7	5	6	5	4	6	7	5	7	7	A	5	5	3	3	3	4	1	1	1	1	2	2	2	4	3	4	4	3	4	9	7	7	8	6	1	6	1	6	6	4	7	3	5	6	7	6	1	6	7	6	6	6	5	6	7	7	7	7	Catholic 	Graduate University / Professional School (Master's Degree, Doctoral Degree)	7	4	1	1
Male	31	5	4	4	5	5	5	5	2	7	6	6	5	3	7	7	1	5	5	5	A	2	1	2	3	1	1	1	1	2	2	3	3	1	1	2	3	2	2	4	10	9	9	0	6	9	0	9	6	10	9	9	9	4	9	7	4	4	3	5	6	5	6	2	7	6	5	2	3	Cathilic	University / College / Undergraduate School (Bachelor Degree)	8	8	4	8
Male	26	1	2	2	3	1	4	4	1	7	5	4	3	4	6	3	5	3	4	2	A	1	3	2	1	1	1	1	1	5	1	1	3	4	1	1	0	2	1	1	0	5	0	0	3	2	0	0	2	1	0	2	1	0	5	5	2	7	6	4	4	2	4	2	3	5	2	3	4	Agnostic	University / College / Undergraduate School (Bachelor Degree)	6	5	1	0
Male	30	5	5	5	5	5	5	5	5	7	5	7	5	6	5	7	7	5	7	7	A	7	7	7	5	5	7	7	6	7	5	7	5	7	4	0	2	4	4	4	8	5	5	5	10	10	8	9	8	10	10	6	10	5	9	6	6	6	6	6	7	7	7	7	5	4	3	2	4	Christian	University / College / Undergraduate School (Bachelor Degree)	8	7	7	10
Female	59	4	4	2	4	2	4	4	2	3	5	1	4	1	7	1	1	4	1	2	A	1	1	2	1	1	1	1	1	2	1	1	1	1	0	0	1	1	2	1	2	9	0	0	5	6	1	1	1	7	5	9	1	2	9	5	1	2	7	6	5	2	2	2	6	7	4	4	4	Methodist	Vocational School / Technical College / Communication College (Associate Degree)	5	1	1	2
Female	34	4	4	4	5	3	5	5	3	5	5	4	4	4	4	3	4	5	4	3	A	5	5	4	5	5	5	3	1	5	4	1	4	4	2	2	4	1	0	4	0	10	0	0	6	7	0	0	6	7	5	5	0	0	7	6	4	6	6	6	6	4	5	3	4	5	7	5	5	Roman Catholic	Junior High School / Middle School	5	2	1	2
Male	28	3	3	3	4	1	4	4	1	5	1	1	3	4	7	1	2	6	1	1	B	4	7	4	4	4	4	4	1	4	4	4	4	4	4	4	4	4	4	4	0	10	0	0	0	10	0	10	0	10	5	10	5	10	10	6	2	3	7	7	5	1	5	2	7	7	6	4	6	Christian	Vocational School / Technical College / Communication College (Associate Degree)	5	6	1	10
Female	36	4	3	1	4	4	1	2	1	6	3	2	4	1	4	5	5	7	1	1	B	7	7	7	7	7	3	3	3	7	3	3	7	7	4	1	3	2	3	4	0	10	8	0	0	9	0	5	2	10	0	10	10	8	10	7	2	1	6	7	3	3	5	1	7	5	7	3	2	Christian-Baptist	Vocational School / Technical College / Communication College (Associate Degree)	2	8	1	10
Female	21	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	B	7	4	4	4	4	4	4	4	4	4	4	4	4	0	0	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	7	2	2	7	7	7	1	1	1	7	7	7	7	7	None	Other	6	1	1	0
Female	27	1	1	4	5	2	5	3	4	7	3	2	2	1	2	4	3	1	2	7	A	1	2	3	3	1	3	3	3	3	3	4	5	4	-3	-3	-2	-4	-3	4	0	1	0	2	0	1	1	2	1	1	2	1	2	1	2	4	5	5	6	5	5	7	5	6	5	5	3	3	3	None	University / College / Undergraduate School (Bachelor Degree)	3	2	2	3
Female	50	3	3	3	3	1	1	2	1	4	6	4	6	6	4	4	4	1	4	5	A	1	1	3	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	5	8	0	0	0	5	0	0	0	5	0	8	0	0	8	7	3	2	6	6	6	2	3	1	6	6	6	6	6	Baptist	Other	1	1	1	5
